,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10
5415,3010712-2,SOKOLOV,Для женщин,2.68 г,Жёлтое золото,585.0,,Изумруд натуральный,Овал,6 шт,Зелёный,2.625 карат,5.0,3.0,,,,,,,,,,101250,224990,79,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5416,3010713,SOKOLOV,Для женщин,1.98 г,Красное золото,585.0,,Изумруд натуральный,Круг,23 шт,Зелёный,2.576 карат,5.0,3.0,,,,,,,,,,74250,164990,79,3 мм,23 мм,,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5417,4010683-3,SOKOLOV,Для женщин,4.02 г,Белое золото,585.0,Родирование,Рубин,Круг,9 шт,Красный,1.197 карат,2.0,2.0,,Бриллиант (природный),Круг,36 шт,Бесцветный,0.137 карат,3.0,6.0,,139500,309990,79,1 мм,21 мм,2 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5418,4010737,SOKOLOV,Для женщин,4.03 г,Красное золото,585.0,Родирование,Рубин,Овал,1 шт,Красный,4.014 карат,3.0,2.0,,Бриллиант (природный),Круг,22 шт,Бесцветный,0.163 карат,,6.0,,119250,264990,79,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5419,4010742,SOKOLOV,Для женщин,3.49 г,Красное золото,585.0,Родирование,Рубин,Овал,4 шт,Красный,2.24 карат,2.0,2.0,,Рубин,Овал,1 шт,Красный,1.22 карат,,2.0,,85500,189990,79,2 мм,,,,,,Бриллиант (природный),Круг,44 шт,Бесцветный,0.163 карат,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5420,4010743,SOKOLOV,Для женщин,2.97 г,Красное золото,585.0,,Рубин,Овал,6 шт,Красный,3.36 карат,,2.0,,,,,,,,,,72000,159990,79,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,6014273-3,SOKOLOV,Для женщин,3.24 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,19 шт,Бесцветный,0.141 карат,3.0,6.0,,Бриллиант (природный),Круг,34 шт,Бесцветный,0.129 карат,3.0,6.0,,141750,314990,79,2 мм,12 мм,6 мм,10 мм,7 мм * 5 мм,SOKOLOV x МАРИНА КРАВЕЦ,Бриллиант (природный),Круг,16 шт,Бесцветный,0.046 карат,3.0,6.0,Аквамарин,Октагон,1 шт,Голубой,0.868 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5422,6014314,SOKOLOV,Для женщин,1.27 г,Красное золото,585.0,,Турмалин,Багет,1 шт,Розовый,0.514 карат,,,,,,,,,,,,31500,69990,79,1 мм,6 мм,4 мм,5 мм,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5423,6014332-3,SOKOLOV,Для женщин,2.07 г,Белое золото,585.0,Родирование,Танзанит,Круг,1 шт,Сиреневый,0.51 карат,,,,,,,,,,,,47250,104990,79,2 мм,5 мм,4 мм,5 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5424,6014337-3,SOKOLOV,Для женщин,2.26 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,40 шт,Бесцветный,0.148 карат,2.0,3.0,,Танзанит,Круг,1 шт,Сиреневый,0.28 карат,,,,54000,119990,79,1 мм,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5425,6014350-3,SOKOLOV,Для женщин,2.8 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.061 карат,3.0,6.0,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.059 карат,3.0,6.0,,55500,184990,79,2 мм,,,,"4, 5 мм",,Танзанит,Круг,1 шт,Сиреневый,0.376 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5426,6014351-3,SOKOLOV,Для женщин,2.16 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,18 шт,Бесцветный,0.067 карат,2.0,3.0,,Танзанит,Сердце,1 шт,Сиреневый,0.812 карат,,,,65250,144990,79,2 мм,,,,6 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5427,6014355-3,SOKOLOV,Для женщин,2.5 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,15 шт,Бесцветный,0.056 карат,2.0,3.0,,Бриллиант (природный),Круг,3 шт,Бесцветный,0.023 карат,2.0,3.0,,76500,169990,79,2 мм,,,,"3, 5 мм",,Бриллиант (природный),Круг,3 шт,Бесцветный,0.009 карат,2.0,3.0,Танзанит,Круг,8 шт,Сиреневый,1.378 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5428,6014358-3,SOKOLOV,Для женщин,4.04 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,26 шт,Бесцветный,0.192 карат,3.0,6.0,,Аквамарин,Овал,1 шт,Голубой,3.84 карат,,,,346500,769990,79,2 мм,15 мм,7 мм,14 мм,12 мм * 10 мм,SOKOLOV x МАРИНА КРАВЕЦ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,6014368-3,SOKOLOV,Для женщин,3.83 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,76 шт,Бесцветный,0.289 карат,3.0,6.0,,Бриллиант (природный),Круг,62 шт,Бесцветный,0.18 карат,3.0,6.0,,225000,499990,79,2 мм,,,,8 мм * 6 мм,SOKOLOV x МАРИНА КРАВЕЦ,Танзанит,Октагон,1 шт,Сиреневый,1.49 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5430,6014369-3,SOKOLOV,Для женщин,3.91 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,76 шт,Бесцветный,0.289 карат,3.0,6.0,,Бриллиант (природный),Круг,62 шт,Бесцветный,0.18 карат,3.0,6.0,,193500,429990,79,2 мм,,,,8 мм * 6 мм,SOKOLOV x МАРИНА КРАВЕЦ,Аквамарин,Октагон,1 шт,Голубой,1.44 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5431,6014373-3,SOKOLOV,Для женщин,4.09 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.15 карат,3.0,6.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.046 карат,3.0,6.0,,173250,384990,79,2 мм,,,,10 мм * 8 мм,SOKOLOV x МАРИНА КРАВЕЦ,Аквамарин,Овал,1 шт,Голубой,2.08 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,6014374-3,SOKOLOV,Для женщин,8.04 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,40 шт,Бесцветный,0.152 карат,3.0,6.0,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.148 карат,3.0,6.0,,893250,1984990,79,2 мм,,,,16 мм * 12 мм,SOKOLOV x МАРИНА КРАВЕЦ,Аквамарин,Овал,1 шт,Голубой,8.322 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,6015121,SOKOLOV,Для женщин,0.88 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,5 шт,Бесцветный,0.063 карат,3.0,6.0,,,,,,,,,,33750,74990,79,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,6015123-3,SOKOLOV,Для женщин,0.84 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2.0,3.0,,,,,,,,,,24750,54990,79,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5435,6015124-3,SOKOLOV,Для женщин,0.84 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2.0,3.0,,,,,,,,,,21600,47990,80,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5436,6019027,SOKOLOV,Для женщин,3 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.059 карат,2.0,3.0,,Эмаль,,1 шт,,0.48 карат,,,,67500,149990,80,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5437,6019028,SOKOLOV,Для женщин,3.95 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,20 шт,Бесцветный,0.074 карат,2.0,3.0,,Эмаль,,1 шт,,0.48 карат,,,,85500,189990,80,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438,6019029,SOKOLOV,Для женщин,3.89 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,31 шт,Бесцветный,0.115 карат,2.0,3.0,,Эмаль,,1 шт,,0.48 карат,,,,85500,189990,80,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5439,7010055,SOKOLOV,Для женщин,1.18 г,Белое золото,585.0,Родирование,Черный бриллиант,Круг,3 шт,Чёрный,0.025 карат,7.0,6.0,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.022 карат,2.0,3.0,,30600,67990,80,2 мм,3 мм,1.5 мм,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5440,7010134-3,SOKOLOV,Для женщин,2.27 г,Белое золото,585.0,Родирование,Черный бриллиант,Круг,9 шт,Чёрный,0.06 карат,7.0,6.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.034 карат,2.0,3.0,,54000,119990,80,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,7010136-3,SOKOLOV,Для женщин,2.44 г,Белое золото,585.0,Родирование,Черный бриллиант,Круг,9 шт,Чёрный,0.224 карат,7.0,6.0,А,Бриллиант (природный),Круг,28 шт,Бесцветный,0.109 карат,2.0,3.0,А,81000,179990,80,1 мм,,,,,,Черный бриллиант,Круг,4 шт,Чёрный,0.064 карат,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,А,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5442,7010138,SOKOLOV,Для женщин,3.36 г,Красное золото,585.0,Родирование,Черный бриллиант,Круг,43 шт,Чёрный,0.192 карат,7.0,6.0,,Бриллиант (природный),Круг,28 шт,Бесцветный,0.103 карат,2.0,3.0,,83250,184990,80,6 мм,6 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443,7010138-3,SOKOLOV,Для женщин,3.41 г,Белое золото,585.0,Родирование,Черный бриллиант,Круг,43 шт,Чёрный,0.192 карат,7.0,6.0,,Бриллиант (природный),Круг,28 шт,Бесцветный,0.103 карат,2.0,3.0,,83250,184990,80,6 мм,6 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,7010140-3,SOKOLOV,Для женщин,1.41 г,Белое золото,585.0,Родирование,Черный бриллиант,Круг,36 шт,Чёрный,0.155 карат,7.0,6.0,,Бриллиант (природный),Круг,36 шт,Бесцветный,0.133 карат,2.0,3.0,,54000,119990,80,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5445,7010145,SOKOLOV,Для женщин,1.82 г,Красное золото,585.0,Родирование,Черный бриллиант,Круг,39 шт,Чёрный,0.175 карат,7.0,6.0,,Рубин,Круг,10 шт,Красный,0.062 карат,2.0,2.0,,60750,134990,80,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,71-00123-2,SOKOLOV,Для женщин,1.89 г,Жёлтое золото,585.0,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.03 карат,2.0,3.0,,Горный хрусталь,Круг,1 шт,Бесцветный,0.768 карат,,,,20400,67990,80,1 мм,12 мм,6 мм,11 мм,6 мм,,Кварц,Круг,1 шт,Жёлтый,0.784 карат,,,,,,,,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5447,71-00160,SOKOLOV,Для женщин,2.28 г,Красное золото,585.0,,Бриллиант (природный),Круг,28 шт,Бесцветный,0.081 карат,2.0,3.0,,,,,,,,,,67500,149990,80,2 мм,10 мм,6 мм,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5448,71-00189,SOKOLOV,Для женщин,1.28 г,Красное золото,585.0,,Бриллиант (природный),Круг,7 шт,Бесцветный,0.026 карат,2.0,3.0,,Гидротермальный изумруд (синт.),Овал,1 шт,Зелёный,0.196 карат,,,,20250,44990,80,2 мм,7 мм,3 мм,9 мм,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,71-00256,SOKOLOV,Для женщин,2.5 г,Красное золото,585.0,,Бриллиант (природный),Круг,7 шт,Бесцветный,0.026 карат,2.0,3.0,,Гранат,Груша,6 шт,Красный,1.007 карат,,,,35100,77990,80,1 мм,11 мм,4 мм,19 мм,4 мм * 3 мм,,Гранат,Груша,6 шт,Красный,1.284 карат,,,,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5450,71-00264,SOKOLOV,Для женщин,2.41 г,Красное золото,585.0,,Бриллиант (природный),Круг,30 шт,Бесцветный,0.162 карат,2.0,3.0,,Корунд,Круг,8 шт,Синий,1.097 карат,,,,49500,109990,80,2 мм,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5451,71-00270-3,SOKOLOV,Для женщин,2.27 г,Белое золото,585.0,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.074 карат,2.0,3.0,,Лондон топаз,Груша,2 шт,Голубой,0.483 карат,,,,35100,77990,80,1 мм,,,,5 мм * 3 мм,,Топаз,Груша,2 шт,Голубой,0.868 карат,,,,,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5452,71-00302,SOKOLOV,Для женщин,2.04 г,Красное золото,585.0,,Бриллиант (природный),Круг,17 шт,Бесцветный,0.063 карат,2.0,3.0,,Агат,Груша,3 шт,Зелёный,0.517 карат,,,,22000,109990,80,2 мм,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5453,71-00303,SOKOLOV,Для женщин,2.09 г,Красное золото,585.0,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.031 карат,2.0,3.0,,Корунд,Круг,56 шт,Синий,0.33 карат,,,,15300,50990,80,2 мм,4 мм,2 мм,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,71-00320,SOKOLOV,Для женщин,1.56 г,Красное золото,585.0,,Бриллиант (природный),Круг,14 шт,Бесцветный,0.052 карат,2.0,3.0,,Лондон топаз,Овал,1 шт,Голубой,0.494 карат,,,,19500,64990,80,1 мм,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5455,71-00322,SOKOLOV,Для женщин,4.71 г,Красное золото,585.0,,Бриллиант (природный),Круг,18 шт,Бесцветный,0.067 карат,2.0,3.0,,Горный хрусталь,Круг,1 шт,Бесцветный,3.541 карат,,,,65250,144990,80,3 мм,,,,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5456,71-00324-3,SOKOLOV,Для женщин,4.16 г,Белое золото,585.0,,Бриллиант (природный),Круг,44 шт,Бесцветный,0.163 карат,2.0,3.0,,Топаз,Октагон,1 шт,Голубой,3.719 карат,,,,67500,149990,80,2 мм,,,,10 мм * 8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5457,71-00338,SOKOLOV,Для женщин,1.82 г,Красное золото,585.0,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.062 карат,2.0,3.0,,Бриллиант (природный),Круг,2 шт,Бесцветный,0.011 карат,2.0,3.0,,40500,89990,80,1 мм,,,,,,Бриллиант (природный),Круг,2 шт,Бесцветный,0.007 карат,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5458,713841-2,SOKOLOV,Для женщин,1.8 г,Жёлтое золото,585.0,Родирование,Топаз,Овал,1 шт,Голубой,0.843 карат,,,,Фианит,Круг,10 шт,Бесцветный,0.045 карат,,,,19350,42990,80,,,,,7 мм * 5 мм,,,,,,,,,,,,,,"0, 8 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5459,713929,SOKOLOV,Для женщин,2.56 г,Красное золото,585.0,Родирование,Гранат,Груша,1 шт,Красный,2.113 карат,,,,Фианит,Круг,26 шт,Бесцветный,0.117 карат,,,,31500,69990,80,,,,,10 мм * 7 мм,,,,,,,,,,,,,,"0, 8 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5460,714282,SOKOLOV,Для женщин,2.67 г,Красное золото,585.0,,Топаз,Груша,4 шт,Голубой,0.919 карат,,,,Топаз,Круг,1 шт,Голубой,0.028 карат,,,,32850,72990,80,,,,,5 мм * 3 мм,,Топаз,Круг,1 шт,Голубой,0.11 карат,,,Топаз,Круг,3 шт,Голубой,0.133 карат,"1, 75 мм",Топаз,Маркиз,3 шт,Голубой,0.28 карат,"2, 75 мм",2 мм,4 мм * 2 мм,Топаз,Овал,3 шт,Голубой,0.594 карат,4 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5461,714324,SOKOLOV,Для женщин,3.92 г,Красное золото,585.0,Родирование,Корунд,Круг,26 шт,Красный,0.299 карат,,,,Корунд,Маркиз,1 шт,Красный,4.597 карат,,,,34500,114990,80,,,,,"1, 25 мм",,,,,,,,,,,,,,16 мм * 8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5462,714351,SOKOLOV,Для женщин,4.12 г,Красное золото,585.0,Родирование,Агат,Кушон,1 шт,Чёрный,5.116 карат,,,,Фианит,Круг,44 шт,Бесцветный,0.374 карат,,,,54000,119990,80,,,,,18 мм * 9 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5463,714458,SOKOLOV,Для женщин,1.94 г,Красное золото,585.0,Родирование,Лондон топаз,Груша,1 шт,Голубой,0.785 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,,,,24900,82990,80,,,,,7 мм * 5 мм,,Фианит,Круг,4 шт,Бесцветный,0.066 карат,,,Фианит,Круг,19 шт,Бесцветный,0.162 карат,"1, 5 мм",,,,,,"1, 25 мм",1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5464,714587,SOKOLOV,Для женщин,1.18 г,Красное золото,585.0,,Топаз,Груша,1 шт,Голубой,0.23 карат,,,,Топаз,Маркиз,2 шт,Голубой,0.325 карат,,,,15750,34990,80,,,,,5 мм * 3 мм,,,,,,,,,,,,,,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5465,714631,SOKOLOV,Для женщин,1.79 г,Красное золото,585.0,,Гранат,Груша,1 шт,Красный,0.192 карат,,,,Гранат,Груша,2 шт,Красный,0.98 карат,,,,23850,52990,80,,,,,4 мм * 3 мм,,Гранат,Маркиз,1 шт,Красный,0.289 карат,,,,,,,,6 мм * 4 мм,,,,,,6 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5466,714640,SOKOLOV,Для женщин,1.54 г,Красное золото,585.0,,Агат,Груша,1 шт,Зелёный,0.588 карат,,,,,,,,,,,,17100,37990,80,,,,,7 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5467,714668,SOKOLOV,Для женщин,1.94 г,Красное золото,585.0,Родирование,Гранат,Груша,1 шт,Красный,1.448 карат,,,,Фианит,Круг,2 шт,Красный,0.017 карат,,,,28350,62990,80,,,,,9 мм * 6 мм,,Фианит,Круг,19 шт,Красный,0.086 карат,,,,,,,,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
