,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
1068,94014003-91,SOKOLOV,Для женщин,2.08 г,Родированное серебро,925,Родирование,Фианит,Круг,5 шт,Бесцветный,1.486 карат,,,,,,,,,,,,2790,6190,16,,,,,"3, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,94014004-91,SOKOLOV,Для женщин,3.62 г,Родированное серебро,925,Родирование,Фианит,Багет,1 шт,Бесцветный,3.85 карат,,,,Фианит,Круг,48 шт,Бесцветный,0.408 карат,,,,4050,8990,16,,,,,9 мм * 7 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,94014007-91,SOKOLOV,Для женщин,1.97 г,Родированное серебро,925,,Фианит,Круг,4 шт,Бесцветный,0.172 карат,,,,,,,,,,,,2400,7990,16,,,,,"1, 75 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,94014026-91,SOKOLOV,Для женщин,3.52 г,Родированное серебро,925,Родирование,Фианит,Круг,60 шт,Бесцветный,0.75 карат,,,,,,,,,,,,2850,9490,16,,,,,"1, 1 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,94014030-91,SOKOLOV,Для женщин,7.05 г,Родированное серебро,925,Родирование,Фианит,Круг,60 шт,Бесцветный,0.51 карат,,,,Фианит,Круг,60 шт,Чёрный,0.246 карат,,,,6300,13990,16,,,,,1 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,111223,SOKOLOV,"Для женщин, Для мужчин, Унисекс",3.33 г,Красное золото,585,,Без вставок,,,,,,,,,,,,,,,,39600,87990,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,017236,SOKOLOV,Для женщин,1.52 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,,,,,,,,,17100,37990,16,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,017442,SOKOLOV,Для женщин,1.42 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.029 карат,,,,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,17100,37990,16,,,,,"1, 5 мм",,Фианит,Круг,1 шт,Бесцветный,0.122 карат,,,Фианит,Круг,1 шт,Бесцветный,0.297 карат,2 мм,Фианит,Круг,1 шт,Бесцветный,0.451 карат,"2, 5 мм","3, 5 мм",4 мм,Фианит,Круг,1 шт,Бесцветный,0.017 карат,"1, 25 мм",Фианит,Круг,1 шт,Бесцветный,0.201 карат,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,017563,SOKOLOV,Для женщин,2.31 г,Красное золото,585,Родирование,Фианит,Круг,11 шт,Бесцветный,0.721 карат,,,,,,,,,,,,28350,62990,16,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,018628,SOKOLOV,Для женщин,1.97 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,14 шт,Бесцветный,0.119 карат,,,,26100,57990,16,,,,,4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,018814-2,SOKOLOV,Для женщин,1.26 г,Жёлтое золото,585,Родирование,Фианит,Круг,35 шт,Бесцветный,0.298 карат,,,,,,,,,,,,18000,39990,16,1 мм,6 мм,2 мм,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,018964,SOKOLOV,Для женщин,1.21 г,Красное золото,585,Эмаль,Эмаль,,1 шт,,0.48 карат,,,,,,,,,,,,18000,39990,16,1 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,019008-2,SOKOLOV,Для женщин,1.04 г,Жёлтое золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,13500,29990,16,1 мм,4 мм,3 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,019031-2,SOKOLOV,Для женщин,1.12 г,Жёлтое золото,585,Родирование,Фианит,Круг,30 шт,Бесцветный,1.29 карат,,,,,,,,,,,,17100,37990,16,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,019179,SOKOLOV,Для женщин,1.22 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.017 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.086 карат,,,,14850,32990,16,1 мм,7 мм,3 мм,9 мм,"1, 25 мм",,Фианит,Овал,2 шт,Бесцветный,0.707 карат,,,,,,,,"1, 75 мм",,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,019205,SOKOLOV,Для женщин,2.13 г,Красное золото,585,Родирование,Фианит,Круг,18 шт,Бесцветный,0.153 карат,,,,Фианит,Круг,22 шт,Синий,0.497 карат,,,,26100,57990,16,1 мм,5 мм,3 мм,,1 мм,,,,,,,,,,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,019241,SOKOLOV,Для женщин,1.42 г,Красное золото,585,Родирование,Фианит,Круг,14 шт,Бесцветный,0.119 карат,,,,Фианит,Круг,4 шт,Синий,0.09 карат,,,,18000,39990,16,2 мм,7 мм,2 мм,,1 мм,,,,,,,,,,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1012252-2,SOKOLOV,Для женщин,0.71 г,Жёлтое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.046 карат,3,6,,,,,,,,,,23850,52990,16,1 мм,2 мм,3 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,1012366,SOKOLOV,Для женщин,1.32 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.046 карат,3,6,,,,,,,,,,32850,72990,16,2 мм,5 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,1012504,SOKOLOV,Для женщин,3.21 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,6 шт,Бесцветный,0.233 карат,3,6,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.116 карат,3,6,,128250,284990,16,2 мм,9 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,111219,SOKOLOV,"Для женщин, Для мужчин, Унисекс",3.77 г,Красное золото,585,,Без вставок,,,,,,,,,,,,,,,,42750,94990,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,1114040-01,SOKOLOV,Для женщин,1.73 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.014 карат,3,5,А,Бриллиант (природный),Круг,1 шт,Бесцветный,0.011 карат,2,4,А,30000,99990,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,113010-01,SOKOLOV,"Для женщин, Для мужчин, Унисекс",2.41 г,Жёлтое золото,585,,Без вставок,,,,,,,,,,,,,,,,21000,104990,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,12.71.00.01.11.0007.3,SOKOLOV,Для мужчин,,Сталь,,,Без вставок,,,,,,,,,,,,,,,,1080,3590,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,71-00039-3,SOKOLOV,Для женщин,1.67 г,Белое золото,585,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.074 карат,2,3,,Лондон топаз,Овал,1 шт,Голубой,0.494 карат,,,,33750,74990,16,1 мм,4 мм,4 мм,7 мм,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,715179,SOKOLOV,Для женщин,1.6 г,Красное золото,585,,Топаз,Круг,2 шт,Голубой,0.113 карат,,,,Топаз,Круг,4 шт,Голубой,0.11 карат,,,,26100,57990,16,1 мм,6 мм,3 мм,14 мм,"2, 25 мм",,Топаз,Овал,1 шт,Голубой,0.502 карат,,,,,,,,"1, 75 мм",,,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,716025,SOKOLOV,Для женщин,3.53 г,Красное золото,585,,Ситалл,Триллион,1 шт,Жёлтый,4.45 карат,,,,,,,,,,,,37350,82990,16,,,,,"12, 5 мм * 9 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,716032,SOKOLOV,Для женщин,3.16 г,Красное золото,585,,Гранат,Маркиз,14 шт,Красный,2.509 карат,,,,,,,,,,,,40500,89990,16,1 мм,25 мм,4 мм,15 мм,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,716127,SOKOLOV,Для женщин,1.86 г,Красное золото,585,,Аметист,Круг,3 шт,Сиреневый,0.307 карат,,,,Топаз,Круг,1 шт,Голубой,0.136 карат,,,,26100,57990,16,1 мм,9 мм,3 мм,10 мм,3 мм,,Топаз,Круг,2 шт,Голубой,0.271 карат,,,,,,,,3 мм,,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,716337-2,SOKOLOV,Для женщин,2.25 г,Жёлтое золото,585,,Горный хрусталь,Октагон,1 шт,Бесцветный,0.57 карат,,,,Кварц,Груша,1 шт,Жёлтый,0.721 карат,,,,24000,79990,16,2 мм,,,,5 мм * 5 мм,,,,,,,,,,,,,,7 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,716778,SOKOLOV,Для женщин,1.23 г,Красное золото,585,Родирование,Корунд,Круг,1 шт,Синий,0.321 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.051 карат,,,,15750,34990,16,1 мм,4 мм,3 мм,4 мм,4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,82010014,SOKOLOV,Для женщин,1.64 г,Золочёное серебро,925,Золочение,Гидротермальный изумруд (синт.),Овал,1 шт,Зелёный,0.714 карат,,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,5170,11490,16,2 мм,9 мм,5 мм,9 мм,7 мм * 5 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,92011451,SOKOLOV,Для женщин,2.28 г,Родированное серебро,925,"Золочение,  Родирование",Раухтопаз,Маркиз,1 шт,Коричневый,0.472 карат,,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,1200,3990,16,,,,,8 мм * 4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,92014381-91,SOKOLOV,Для женщин,2.86 г,Родированное серебро,925,Родирование,Жемчуг натуральный,Круг,1 шт,Белый,3.955 карат,,,,Фианит,Круг,14 шт,Бесцветный,0.175 карат,,,,1710,3790,17,,,,,"8 мм * 8, 5 мм",,,,,,,,,,,,,,"1, 1 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,93010699,SOKOLOV,Для женщин,3.29 г,Золочёное серебро,925,"Золочение,  Родирование",Фианит,Груша,1 шт,Бесцветный,1.084 карат,,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,1710,3790,17,,,,,7 мм * 5 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,94012263,SOKOLOV,Для женщин,1.22 г,Родированное серебро,925,,Фианит,Круг,9 шт,Бесцветный,0.077 карат,,,,,,,,,,,,1440,3190,17,,,,,1 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,94012307,SOKOLOV,Для женщин,2.57 г,Родированное серебро,925,"Родирование,  Эмаль",Фианит,Круг,10 шт,Чёрный,0.041 карат,,,,Эмаль,,1 шт,,0.48 карат,,,,1800,3990,17,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,94012800,SOKOLOV,Для женщин,2.92 г,Родированное серебро,925,Родирование,Фианит,Багет,2 шт,Голубой,1.031 карат,,,,Фианит,Круг,2 шт,Голубой,0.401 карат,,,,3820,8490,17,,,,,6 мм * 3 мм,,Фианит,Октагон,1 шт,Голубой,2.882 карат,,,,,,,,3 мм,,,,,,10 мм * 8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,94013712-91,SOKOLOV,Для женщин,1.39 г,Родированное серебро,925,,Без вставок,,,,,,,,,,,,,,,,1620,3590,17,,,,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,94013970-91,SOKOLOV,Для женщин,2.57 г,Родированное серебро,925,Родирование,Фианит,Круг,28 шт,Бесцветный,0.238 карат,,,,,,,,,,,,3600,7990,17,,,,,1 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,94013975-91,SOKOLOV,Для женщин,2.75 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,1980,6590,17,,,,,6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,94013983-91,SOKOLOV,Для женщин,2.78 г,Родированное серебро,925,Родирование,Фианит,Круг,27 шт,Бесцветный,0.338 карат,,,,,,,,,,,,3820,8490,17,,,,,"1, 1 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,015419-4,SOKOLOV,Для женщин,2.99 г,Красное золото,375,Родирование,Фианит,Круг,3 шт,Бесцветный,0.05 карат,,,,Фианит,Круг,10 шт,Бесцветный,0.285 карат,,,,26100,57990,17,,,,,"1, 25 мм",,Фианит,Груша,3 шт,Зелёный,0.533 карат,,,,,,,,"1, 5 мм",,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,018499-4,SOKOLOV,Для женщин,2.28 г,Красное золото,375,Родирование,Фианит,Круг,20 шт,Бесцветный,0.33 карат,,,,,,,,,,,,21600,47990,17,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,92012022,SOKOLOV,Для женщин,1.87 г,Золочёное серебро,925,"Золочение,  Родирование",Гранат,Круг,1 шт,Красный,0.975 карат,,,,Фианит,Круг,10 шт,Чёрный,0.083 карат,,,,3600,7990,17,,,,,6 мм,,,,,,,,,,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,012953-2,SOKOLOV,Для женщин,2.16 г,Жёлтое золото,585,,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,10 шт,Бесцветный,0.43 карат,,,,21600,47990,17,,,,,6 мм,,,,,,,,,,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,016769,SOKOLOV,Для женщин,2.33 г,Красное золото,585,Родирование,Фианит,Круг,26 шт,Бесцветный,0.429 карат,,,,,,,,,,,,31500,69990,17,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,016949-2,SOKOLOV,Для женщин,1.44 г,Жёлтое золото,585,Родирование,Фианит,Сердце,1 шт,Бесцветный,0.801 карат,,,,,,,,,,,,17100,37990,17,,,,,5 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,017080-2,SOKOLOV,Для женщин,2.08 г,Жёлтое золото,585,Родирование,Фианит,Круг,9 шт,Зелёный,0.081 карат,,,,Фианит,Круг,13 шт,Зелёный,0.065 карат,,,,28350,62990,17,,,,,"1, 25 мм",,Фианит,Груша,1 шт,Синий,0.321 карат,,,Фианит,Круг,2 шт,Синий,0.018 карат,1 мм,Фианит,Круг,9 шт,Синий,0.05 карат,6 мм * 4 мм,"1, 25 мм",1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,017148,SOKOLOV,Для женщин,0.88 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.017 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.017 карат,,,,11700,25990,17,,,,,"1, 25 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,017187,SOKOLOV,Для женщин,1.68 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,19350,42990,17,,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,017257,SOKOLOV,Для женщин,1.6 г,Красное золото,585,"Алмазная грань,  Родирование",Без вставок,,,,,,,,,,,,,,,,21600,47990,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,017442-2,SOKOLOV,Для женщин,1.4 г,Жёлтое золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.029 карат,,,,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,15750,34990,17,,,,,"1, 5 мм",,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,Фианит,Круг,1 шт,Бесцветный,0.017 карат,4 мм,Фианит,Круг,1 шт,Бесцветный,0.297 карат,2 мм,"1, 25 мм","3, 5 мм",Фианит,Круг,1 шт,Бесцветный,0.122 карат,"2, 5 мм",Фианит,Круг,1 шт,Бесцветный,0.201 карат,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,017463,SOKOLOV,Для женщин,2.13 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,21000,69990,17,,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,017491,SOKOLOV,Для женщин,1.62 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.297 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.176 карат,,,,18000,39990,17,,,,,"3, 5 мм",,,,,,,,,,,,,,"2, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,017506,SOKOLOV,Для женщин,1.54 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,17100,37990,17,,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,017695,SOKOLOV,Для женщин,2.34 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,10 шт,Бесцветный,0.085 карат,,,,26100,57990,17,,,,,4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,017789,SOKOLOV,Для женщин,2 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,18 шт,Бесцветный,0.153 карат,,,,23850,52990,17,1 мм,6 мм,3 мм,20 мм,4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,017839,SOKOLOV,Для женщин,1.82 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,18900,62990,17,1 мм,6 мм,4 мм,6 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,017843,SOKOLOV,Для женщин,1.87 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,,,,,,,,,22500,74990,17,1 мм,6 мм,4 мм,10 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,017910,SOKOLOV,Для женщин,1.97 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.251 карат,,,,Фианит,Круг,4 шт,Бесцветный,0.034 карат,,,,21000,69990,17,1 мм,6 мм,3 мм,15 мм,"3, 25 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,017915-2,SOKOLOV,Для женщин,1.39 г,Жёлтое золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,,,,,,,,,17100,37990,17,2 мм,3 мм,3 мм,3 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,017957-2,SOKOLOV,Для женщин,1.39 г,Жёлтое золото,585,Родирование,Фианит,Круг,3 шт,Бесцветный,0.891 карат,,,,,,,,,,,,12900,42990,17,,,,,"3, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,018051,SOKOLOV,Для женщин,1.23 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.297 карат,,,,,,,,,,,,17100,37990,17,1 мм,4 мм,3 мм,4 мм,"3, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
